#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC   mi    ft
2014 01 04 18 03 999 99.0 99.0  0.71 15.38  9.54 284 9999.0 999.0  16.4 999.0 99.0 99.00
2014 01 04 18 33 999 99.0 99.0  0.73 15.38  9.24 289 9999.0 999.0  16.5 999.0 99.0 99.00
2014 01 04 19 03 999 99.0 99.0  0.80 13.33  9.87 271 9999.0 999.0  16.7 999.0 99.0 99.00
2014 01 04 19 33 999 99.0 99.0  0.81 14.29  9.80 280 9999.0 999.0  16.6 999.0 99.0 99.00
2014 01 04 20 03 999 99.0 99.0  0.85 14.29 10.20 278 9999.0 999.0  16.7 999.0 99.0 99.00
2014 01 04 20 33 999 99.0 99.0  0.83 11.11  9.65 271 9999.0 999.0  16.8 999.0 99.0 99.00
2014 01 04 21 03 999 99.0 99.0  0.77 14.29  9.76 278 9999.0 999.0  16.8 999.0 99.0 99.00
2014 01 04 21 33 999 99.0 99.0  0.88 14.29 10.56 271 9999.0 999.0  16.8 999.0 99.0 99.00
2014 01 04 22 03 999 99.0 99.0  0.85 15.38 10.51 278 9999.0 999.0  16.8 999.0 99.0 99.00
2014 01 04 22 33 999 99.0 99.0  0.73 14.29  9.65 278 9999.0 999.0  16.7 999.0 99.0 99.00
2014 01 04 23 03 999 99.0 99.0  0.85 14.29 10.36 264 9999.0 999.0  16.6 999.0 99.0 99.00
2014 01 04 23 33 999 99.0 99.0  0.86 14.29 10.04 271 9999.0 999.0  16.6 999.0 99.0 99.00
2014 01 05 00 03 999 99.0 99.0  0.85 14.29  9.89 274 9999.0 999.0  16.6 999.0 99.0 99.00
2014 01 05 00 33 999 99.0 99.0  0.78 13.33  9.59 271 9999.0 999.0  16.5 999.0 99.0 99.00
2014 01 05 01 03 999 99.0 99.0  0.83 14.29  9.94 273 9999.0 999.0  16.5 999.0 99.0 99.00
2014 01 05 01 33 999 99.0 99.0  0.86 14.29 10.17 280 9999.0 999.0  16.5 999.0 99.0 99.00
